Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Australia,Australia,AP,2030,Millions,14885000.0,29462000.0,-1.553,49.359,22.381,2.298,24.416,75.0
Australia,Australia,AP,2030,Millions,14885000.0,29462000.0,-1.553,49.359,22.381,2.298,24.416,775.0
Austria,Austria,WE,2022,Units,4442000.0,8978000.0,-3.306,78.376,28.365,5.278,29.227,130.0
Austria,Austria,WE,2022,Units,4442000.0,8978000.0,-3.306,78.376,28.365,5.278,29.227,317.0
Austria,Austria,WE,2022,Millions,4442000.0,8978000.0,-2.963,78.44200000000001,27.557,2.1614999999999998,27.317500000000003,130.0
Austria,Austria,WE,2022,Millions,4442000.0,8978000.0,-2.963,78.44200000000001,27.557,2.1614999999999998,27.317500000000003,317.0
Austria,Austria,WE,2023,Units,4457000.0,9041500.0,-2.62,78.508,26.749,-0.955,25.408,233.0
Austria,Austria,WE,2023,Units,4457000.0,9041500.0,-2.62,78.508,26.749,-0.955,25.408,335.0
Austria,Austria,WE,2023,Millions,4472000.0,9105000.0,-3.6315,79.6485,25.993,-0.972,24.118000000000002,233.0
Austria,Austria,WE,2023,Millions,4472000.0,9105000.0,-3.6315,79.6485,25.993,-0.972,24.118000000000002,335.0
Austria,Austria,WE,2024,Units,4476500.0,9132000.0,-4.643,80.789,25.237,-0.989,22.828,641.0
Austria,Austria,WE,2024,Units,4476500.0,9132000.0,-4.643,80.789,25.237,-0.989,22.828,342.0
Austria,Austria,WE,2024,Millions,4481000.0,9159000.0,-4.4455,81.40700000000001,25.491,-0.35950000000000004,23.39,641.0
Austria,Austria,WE,2024,Millions,4481000.0,9159000.0,-4.4455,81.40700000000001,25.491,-0.35950000000000004,23.39,342.0
Austria,Austria,WE,2025,Units,4473500.0,9170500.0,-4.248,82.025,25.745,0.27,23.952,701.0
Austria,Austria,WE,2025,Units,4473500.0,9170500.0,-4.248,82.025,25.745,0.27,23.952,19.0
Austria,Austria,WE,2025,Millions,4466000.0,9182000.0,-4.066,82.52950000000001,26.0865,0.517,24.111,701.0
Austria,Austria,WE,2025,Millions,4466000.0,9182000.0,-4.066,82.52950000000001,26.0865,0.517,24.111,19.0
Austria,Austria,WE,2026,Units,4473500.0,9193500.0,-3.884,83.034,26.428,0.764,24.27,20.0
Austria,Austria,WE,2026,Units,4473500.0,9193500.0,-3.884,83.034,26.428,0.764,24.27,680.0
Austria,Austria,WE,2026,Millions,4481000.0,9205000.0,-3.8085,83.13550000000001,26.628,1.162,24.436500000000002,20.0
Austria,Austria,WE,2026,Millions,4481000.0,9205000.0,-3.8085,83.13550000000001,26.628,1.162,24.436500000000002,680.0
Austria,Austria,WE,2027,Units,4481000.0,9216500.0,-3.733,83.237,26.828,1.56,24.603,660.0
Austria,Austria,WE,2027,Units,4481000.0,9216500.0,-3.733,83.237,26.828,1.56,24.603,20.0
Austria,Austria,WE,2027,Millions,4481000.0,9228000.0,-3.645,83.3945,26.997999999999998,1.4325,24.6755,660.0
Austria,Austria,WE,2027,Millions,4481000.0,9228000.0,-3.645,83.3945,26.997999999999998,1.4325,24.6755,20.0
Austria,Austria,WE,2028,Units,4481000.0,9241000.0,-3.557,83.552,27.168,1.305,24.748,640.0
Austria,Austria,WE,2028,Units,4481000.0,9241000.0,-3.557,83.552,27.168,1.305,24.748,20.0
Austria,Austria,WE,2028,Millions,4481000.0,9254000.0,-3.5700000000000003,83.7065,27.3305,1.148,24.816000000000003,640.0
Austria,Austria,WE,2028,Millions,4481000.0,9254000.0,-3.5700000000000003,83.7065,27.3305,1.148,24.816000000000003,20.0
Austria,Austria,WE,2029,Units,4481000.0,9266500.0,-3.583,83.861,27.493,0.991,24.884,20.0
